product_id,current_price_value,current_price_currency_code,regular_price_value,regular_price_currency_code,initial_price_value,initial_price_currency_code
100,1.49,USD,1.49,USD,1.49,USD
101,1.49,USD,2.49,USD,2.49,USD
102,1.49,USD,3.49,USD,3.49,USD
103,1.49,USD,4.49,USD,4.49,USD
104,1.49,USD,5.49,USD,5.49,USD
105,1.49,USD,6.49,USD,6.49,USD
106,1.49,USD,7.49,USD,7.49,USD
107,1.49,USD,8.49,USD,8.49,USD
108,1.49,USD,9.49,USD,9.49,USD
109,1.49,USD,10.49,USD,10.49,USD
110,1.49,USD,11.49,USD,11.49,USD
111,1.49,USD,12.49,USD,12.49,USD
112,1.49,USD,13.49,USD,13.49,USD
113,1.49,USD,14.49,USD,14.49,USD
114,1.49,USD,15.49,USD,15.49,USD
115,1.49,USD,16.49,USD,16.49,USD
116,1.49,USD,17.49,USD,17.49,USD
117,1.49,USD,18.49,USD,18.49,USD